ID,medRT_train,medRT_diff,offline_all
KO112,-0.017,0.01,0.354166667
KO119,0.14115,0.377875,0.583333333
KO113,0.09005,0.375025,0.354166667
KO115,0.037,-0.01325,0.4375
ASD130,0.2239,0.33315,0.708333333
ASD117,0.0692,-0.0125,0.458333333
ASD113,-0.04475,0.067425,0.395833333
ASD131,-0.1421,0.14915,0.479166667
ASD120,0.2596,0.268625,0.520833333
KO121,0.2176,0.371575,0.458333333
KO105,0.04135,0.03745,0.5
KO109,,,
ADHD122,0.364,0.41175,0.75
ASD105,-0.094,0.07275,0.541666667
ASD128,-0.1332,-0.01355,0.458333333
ADHD121,0.07,0.2615,0.708333333
KO101,0.0592,0.00765,0.5625
KO102,-0.0402,0.0372,0.4375
ASD103,0.00035,0.0242,0.520833333
ASD109,0.01615,-0.014475,0.520833333
ASD102,0.2692,0.168675,0.520833333
ADHD118,-0.0648,0.194875,0.479166667
ADHD110,0.0415,0.032175,0.5
ASD104,0.241,0.49715,0.520833333
ASD106,-0.0257,0.244525,0.583333333
BL135,0.268,0.225,0.5625
ADHD116,-0.1499,-0.07305,0.479166667
ADHD115,0.4221,0.47265,0.479166667
BL136,0.204,0.33955,0.729166667
BL140,-0.0589,-0.01405,0.479166667
BL125,0.2717,0.167175,0.791666667
ADHD105,-0.10535,-0.036275,0.416666667
ADHD113,0.3944,0.4298,0.604166667
ADHD112,0.3497,0.3358,0.520833333
BL124,0.3216,0.2712,0.75
ADHD106,0.2223,0.39125,0.708333333
ADHD109,-0.001649999,0.050424999,0.520833333
BL132,0.0882,,0.708333333
BL133,0.4222,0.44675,0.895833333
BL134,0.2342,0.35975,0.75
BL126,0.21925,0.18185,0.770833333
BL131,0.2853,0.3113,0.625
BL123,0.29755,0.21415,0.666666667
BL127,-0.00955,0.019625,0.416666667
FF211,0.2004,0.2866,0.5625
BL211,-0.0305,-0.00425,0.479166667
FF169_1,0.1454,0.29945,0.604166667
FF169_2,0.0094,0.0087,0.541666667
FF168_1,0.34815,0.39085,0.520833333
555_17,0.117085,0.1910775,0.604166667
555_10,0.4031025,0.6545,0.4375
555_09,0.0140375,0.11134625,0.479166667
6138,-0.003225,0.01665,0.4375
2,-0.03281,0.156815,0.4375
555512,0.356315,0.2350175,0.5625
6246,0.2122025,0.3816375,0.833333333
6253,0.192,0.1702525,0.666666667
6261,0.193855,0.2196575,0.666666667
8,-0.061595,0.026035,0.625
13,0.078065,0.22465375,0.583333333
18,-0.0097,0.02194375,0.333333333
6130,0.27806,0.288325,0.458333333
6120,0.476275,0.426685,0.520833333
6115,0.2524,0.53921,0.625
4,0.05363,0.3284775,0.625
6117,0.1953475,0.27393875,0.416666667
6257,0.139,0.638,0.8125
6132,0.403325,0.47773,0.791666667
6250,0.25407,0.391175,0.770833333
7,0.12302,0.3000575,0.583333333
6140,-0.028375,-0.00689,0.416666667
6114,-0.01102,0.06100125,0.395833333
20,0.00791,-0.064615,0.375
6113,-0.136115,0.013035,0.645833333
6258,0.30218,0.352315,0.833333333
555519,0.22567,0.4184125,0.666666667
6118,-0.08388,0.0156275,0.4375
6247,0.22439,0.47581,0.625
6111,0.14989,0.1002725,0.645833333
6129,0.406675,0.285825,0.75
6,0.013935,0.0577575,0.416666667
1,0.0109275,0.2146275,0.708333333
6134,0.0454325,-0.039475,0.5
55555,-0.13559,-0.01942125,0.604166667
6260,0.0300575,0.06148625,0.666666667
16,0.05858,0.03638125,0.5
555511,0.01232,0.0578225,0.5
6241,-0.021115,-0.02106,0.541666667
6112,-0.0714375,0.0004575,0.458333333
6116,0.492945,0.5728625,0.5
6259,0.110455,0.503655,0.75
6136,0.613195,0.6341325,0.604166667
6231,0.001695,0.0478325,0.5
6137,0.327645,0.6038425,0.5625
6135,0.036722501,-0.051645,0.458333333
6128,0.508635,0.2253875,0.5
6224,0.0540375,0.33438,0.4375
6214,-0.005305,0.1536075,0.416666667
6218,-0.0519625,-0.0095325,0.395833333
6215,-0.027215,-0.07469,0.645833333
6212,-0.0371075,-0.016365,0.333333333
6213,0.319105,0.25978375,0.479166667
6210,0.3781075,0.41520375,0.645833333
6221,-0.068235,0.02715375,0.791666667
6219,-0.028185,0.4188825,0.6875
6228,0.376465,0.2970525,0.583333333
6223,0.3742925,0.52675125,0.708333333
6217,-0.0690925,-0.02813125,0.4375
6208,0.0053,-0.013605,0.5
6225,0.097655,0.14706,0.5625
6205,0.140645,0.315725,0.729166667
6207,0.104475,0.24105,0.666666667
6220,0.0559125,0.419525,0.770833333
6216,0.241085,,
6232,0.264515,0.310645,0.75
6249,0.00741,0.16834125,0.75
6234,0.059475,-0.0511875,0.583333333
6252,0.2629,0.25299875,0.583333333
6139,0.1131,0.34462,0.770833333
6226,0.191545,0.2135475,0.583333333
6236,0.04236,0.03229125,
6254,0.29087,0.3995625,0.833333333
6242,0.439045,0.5336325,0.708333333
6206,-0.005055,-0.008535,0.541666667
6255,0.3396225,0.26999875,0.770833333
6204,0.482965,0.3744825,0.520833333
6203,0.306495,0.2617225,0.541666667
6202,-0.005545,-0.01046875,0.6875
6230,-0.144045,0.16871625,0.541666667
6239,0.01637,0.0053725,0.645833333
6237,0.47897,0.576745,0.729166667
6244,0.0551025,-0.01879,0.5625
6240,0.111285,0.1426675,0.604166667
6133,0.2281475,0.4970925,0.583333333
6131,0.576465,,
6103,0.4074475,0.40741875,0.604166667
6101,0.0431,0.23867,0.770833333
6102,0.02519,0.088735,0.4375
6108,0.28855,0.27352,0.666666667
6104,0.229415,0.454115,0.583333333
6107,-0.0723925,-0.091404999,0.4375
6105,-0.1328475,0.2480275,0.5625
6121,0.101245,0.45812,0.729166667
6122,-0.0405175,0.03763625,0.4375
6126,-0.07082,0.01722,0.4375
6125,-0.048015,0.0313,0.458333333
6127,0.33755,0.399696251,0.625
6124,0.14965,0.50775,0.666666667
ADHD111,,,
MX110,0.3382,-0.259225,0.583333333
